name,objective value,method,time,idealized_time,nodes,DCs,useless DCs,INGCs,sibling_node_pruning,smart_dc_verification,solve_cvp_globally,Nr_total_CVPs,Nodes_pruned,sibling_nodes_pruned,cb_time,node_info_time,modify_cut_list_time,subproblems_time,ll_model_time,ll_modify_time,ll_solve_time,scoop_model_time,scoop_modify_time,scoop_solve_time,cgp_model_time,cgp_solve_time,cvp_model_time,cvp_modify_time,cvp_solve_time,ref_time,time_without_ref,snp_time,rel_mip_gap,total_time_CVPs,idealized_time_CVPs,total_nr_iter_adversarial,nr_refinements,best_upper_bound,nr_UL_vars,nr_LL_vars,nr_UL_cnstrs,nr_LL_cnstrs,min_UL_obj_coeff,max_UL_obj_coeff,min_LL_obj_coeff,max_LL_obj_coeff,Q_eig_min,Q_eig_max,P_eig_min,P_eig_max,nr_bf_sets_recycled
miblp_20_15_50_0110_10_1,-340,DC_FR,5.66062474250793,4.50908994674683,132,7,0,0,False,False,True,777,17,0,5.47433853149414,0.0805215835571289,0.00156903266906738,5.18938827514648,0.00956487655639648,0.0575273036956787,1.66924452781677,0.00861668586730957,0,0,0.126222133636475,0.100820541381836,0.107003450393677,1.63185834884644,1.4785304069519,0,5.66062474250793,0,0,1.47280812263489,0.321273326873779,37,0,-340,5,10,0,20,-41,49,-44,22,0.0547533306554876,53.2503957461498,0.0127500919303864,103.735490099956,0
miblp_20_15_50_0110_10_1,-340,DC+Scoop_min,4.37442350387573,3.75982618331909,126,4,0,0,False,False,True,609,18,0,4.17549538612366,0.0662453174591064,0.000901222229003906,4.02574706077576,0.00818657875061035,0.0449404716491699,1.32702016830444,0.00681877136230469,0.0927598476409912,1.41557264328003,0.084996223449707,0.0631296634674072,0.111574649810791,0.152474403381348,0.718273639678955,0,4.37442350387573,0,0,0.714351892471314,0.0997545719146729,29,0,-340,5,10,0,20,-41,49,-44,22,0.0547533306554876,53.2503957461498,0.0127500919303864,103.735490099956,0
miblp_20_15_50_0110_10_1,-340,INGC,2.28997659683228,2.28997659683228,120,0,0,29,False,False,True,0,0,0,2.24393081665039,0.0961995124816895,0.00217962265014648,2.06954216957092,0.00901150703430176,0.06201171875,1.99851894378662,0,0,0,0,0,0,0,0,0,2.28997659683228,0,0,0,0,0,0,-340,5,10,0,20,-41,49,-44,22,0.0547533306554876,53.2503957461498,0.0127500919303864,103.735490099956,0
miblp_20_15_50_0110_10_10,-196,DC_FR,80.3321905136108,59.4701411724091,790,140,0,0,False,False,True,14385,203,0,79.9890441894531,1.04630661010742,0.0354952812194824,73.4070298671722,0.00928044319152832,0.66343879699707,16.235937833786,0.00846195220947266,0,0,2.16148090362549,1.83187437057495,0.107753992080688,28.9924387931824,23.3963627815247,0,80.3321905136108,0,0,23.2847023010254,2.42265295982361,685,0,-196,5,10,0,20,-28,49,-18,49,0.204548172096398,100.465929635516,0.0265183142193421,89.618851895692,0
miblp_20_15_50_0110_10_10,-196,DC+Scoop_min,15.1884784698486,11.6015424728394,246,25,0,0,False,False,True,3486,110,0,14.9573895931244,0.392892360687256,0.00626993179321289,13.4470064640045,0.00819849967956543,0.233324766159058,5.89057016372681,0.00680899620056152,0.567509651184082,1.5811722278595,0.513275861740112,0.323626518249512,0.111482858657837,0.228798866271973,3.98223805427551,0,15.1884784698486,0,0,3.95982336997986,0.372887372970581,166,0,-196,5,10,0,20,-28,49,-18,49,0.204548172096398,100.465929635516,0.0265183142193421,89.618851895692,0
miblp_20_15_50_0110_10_10,time limit exceeded,INGC,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7132.26403999329,403.435718297958,21.0177838802338,6355.67274880409,0.0088658332824707,247.413858652115,6108.2500243187,0,0,0,0,0,0,0,0,0,9999999999999,0,4.33151845129307,0,0,0,0,-303.896551724138,5,10,0,20,-28,49,-18,49,0.204548172096398,100.465929635516,0.0265183142193421,89.618851895692,0
miblp_20_15_50_0110_10_2,-337,DC_FR,3109.7143933773,2292.45591068268,28471,3747,14,14,False,False,True,564396,8969,0,3095.09349298477,42.6868481636047,1.10774827003479,2842.18339538574,0.0079190731048584,24.6232862472534,550.421396255493,0.00744843482971191,0,0,88.8519825935364,76.2337038516998,0.122637033462524,1211.37722849846,890.537793397903,0,3109.7143933773,0,0,886.438904762268,69.1804220676422,26876,0,-337,5,10,0,20,-45,46,-19,44,0.0866968516697319,56.326132376976,0.0280562983492115,82.9516343546776,0
miblp_20_15_50_0110_10_2,-337,DC+Scoop_min,2135.11998486519,1620.37199234962,27112,3168,31,31,False,False,True,509061,8797,0,2123.25825548172,35.498562335968,0.810798168182373,1921.42262578011,0.00779128074645996,19.7848637104034,440.546082735062,0.00659918785095215,48.5735704898834,141.341701745987,73.8990969657898,57.7304213047028,0.114214420318604,571.2941365242,568.124147415161,0,2135.11998486519,0,0,564.997099637985,50.2491071224213,24241,0,-337,5,10,0,20,-45,46,-19,44,0.0866968516697319,56.326132376976,0.0280562983492115,82.9516343546776,0
miblp_20_15_50_0110_10_2,time limit exceeded,INGC,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,9999999999999,False,False,True,9999999999999,9999999999999,9999999999999,7101.6779024601,381.312065839767,20.3922605514526,6356.80607271194,0.00927877426147461,237.606132268906,6119.19066166878,0,0,0,0,0,0,0,0,0,9999999999999,0,1.03916849403983,0,0,0,0,-687.199782491526,5,10,0,20,-45,46,-19,44,0.0866968516697319,56.326132376976,0.0280562983492115,82.9516343546776,0
miblp_20_15_50_0110_10_3,-61,DC_FR,25.0690493583679,19.102324962616,214,43,0,0,False,False,True,4221,75,0,24.834454536438,0.355249404907227,0.0101814270019531,22.9743762016296,0.0120518207550049,0.221458435058594,6.05000591278076,0.00732707977294922,0,0,0.673335552215576,0.515299081802368,0.127041816711426,8.46426820755005,6.90358829498291,0,25.0690493583679,0,0,6.87271499633789,0.905990600585938,201,0,-61,5,10,0,20,-47,31,-36,40,0.786512575868943,108.533721612715,0.324660266111687,88.6484433868662,0
miblp_20_15_50_0110_10_3,-61,DC+Scoop_min,10.3358237743378,7.9051308631897,155,12,0,0,False,False,True,2331,68,0,10.141676902771,0.284889221191406,0.00339341163635254,9.16883683204651,0.00778818130493164,0.140307664871216,4.66183018684387,0.00657153129577637,0.329682111740112,0.335600137710571,0.331464767456055,0.236272096633911,0.114214658737183,0.159395217895508,2.84571027755737,0,10.3358237743378,0,0,2.83042669296265,0.399733781814575,111,0,-61,5,10,0,20,-47,31,-36,40,0.786512575868943,108.533721612715,0.324660266111687,88.6484433868662,0
miblp_20_15_50_0110_10_3,-61,INGC,503.240314722061,503.240314722061,11310,0,0,7398,False,False,True,0,0,0,500.364505290985,22.3345596790314,1.10758423805237,457.516959428787,0.00914406776428223,13.4288651943207,444.078950166702,0,0,0,0,0,0,0,0,0,503.240314722061,0,0,0,0,0,0,-61,5,10,0,20,-47,31,-36,40,0.786512575868943,108.533721612715,0.324660266111687,88.6484433868662,0
miblp_20_15_50_0110_10_4,-605,DC_FR,70.3545846939087,51.7016408443451,2161,90,0,0,False,False,True,14448,380,0,69.7750012874603,1.46094369888306,0.0258021354675293,62.8772885799408,0.00900459289550781,0.900111675262451,9.02517223358154,0.00787091255187988,0,0,2.0960214138031,1.67919039726257,0.10654616355896,28.5336594581604,20.5197117328644,0,70.3545846939087,0,0,20.4167313575745,1.76378750801086,688,0,-605,5,10,0,20,-48,44,-43,39,0.103186096935598,97.3594406318063,1.52932028652239,151.248343715853,0
miblp_20_15_50_0110_10_4,-605,DC+Scoop_min,67.8337152004242,48.2306694984436,3568,65,0,0,False,False,True,20601,781,0,67.1442902088165,2.5878164768219,0.0270309448242187,57.4431731700897,0.00760698318481445,1.40382933616638,13.6785218715668,0.00690937042236328,3.48375296592712,7.38626670837402,3.05639362335205,1.90097498893738,0.0403926372528076,5.28431367874146,21.1942110061646,0,67.8337152004242,0,0,21.0685069561005,1.46546125411987,981,0,-605,5,10,0,20,-48,44,-43,39,0.103186096935598,97.3594406318063,1.52932028652239,151.248343715853,0
miblp_20_15_50_0110_10_4,-605,INGC,76.8275849819183,76.8275849819183,6716,0,0,2902,False,False,True,0,0,0,75.2148034572601,8.54224681854248,0.304616212844849,58.9122116565704,0.00910401344299316,5.20710563659668,53.6960020065308,0,0,0,0,0,0,0,0,0,76.8275849819183,0,0,0,0,0,0,-605,5,10,0,20,-48,44,-43,39,0.103186096935598,97.3594406318063,1.52932028652239,151.248343715853,0
miblp_20_15_50_0110_10_5,-280,DC_FR,3.83855247497559,2.81508779525757,55,6,0,0,False,False,True,609,5,0,3.63991856575012,0.0403504371643066,0.00164246559143066,3.46927785873413,0.012059211730957,0.0283088684082031,0.353131055831909,0.00739693641662598,0,0,0.104578971862793,0.0899801254272461,0.127254247665405,1.31387543678284,1.43269300460815,0,3.83855247497559,0,0,1.42796683311462,0.404502153396606,29,0,-280,5,10,0,20,-40,37,-46,46,0.223354171049672,75.5846295037367,0.0719343708567309,61.2091946485302,0
