name;objective value;method;smart_dc_verification;solve_cvp_globally;hyperplane_norm;time;mip_gap;nodes;DCs;INGCs;Nr_total_CVPs;Nodes_pruned;Neighbour_nodes_pruned
bmilplib_10_8;-256.0;INGC+DC;True;False;2;1.4851202964782715;0.0;60;1;0;55;9;0
moore90;-22.0;INGC+DC;True;False;2;0.30405259132385254;0.0;9;1;1;21;2;0
bmilplib_10_4;-139.0;INGC+DC;True;False;2;0.3051273822784424;0.0;2;1;0;16;0;0
bmilplib_10_3;-467.0;INGC+DC;True;False;2;0.04029130935668945;0.0;0;0;0;0;0;0
bmilplib_10_7;-284.0;INGC+DC;True;False;2;11.960487842559814;0.0;394;13;1;424;62;0
bmilplib_10_2;-192.0;INGC+DC;True;False;2;0.05225205421447754;0.0;0;0;0;0;0;0
bmilplib_10_5;-288.0;INGC+DC;True;False;2;0.9261095523834229;0.0;8;1;0;25;0;0
bmilplib_10_10;-175.0;INGC+DC;True;False;2;0.02996540069580078;0.0;0;0;0;0;0;0
bmilplib_10_1;-114.0;INGC+DC;True;False;2;17.775530576705933;0.0;268;23;8;590;74;0
bmilplib_10_9;-113.0;INGC+DC;True;False;2;1.9688870906829834;0.0;86;2;2;71;11;0
bmilplib_10_6;-289.0;INGC+DC;True;False;2;1.0566918849945068;0.0;36;3;1;37;3;0
miblp_20_15_50_0110_10_7;-255.0;INGC+DC;True;False;2;4.267955303192139;0.0;29;3;9;144;3;0
miblp_20_15_50_0110_10_7;-255.0;INGC+DC;False;False;2;4.187131881713867;0.0;29;3;9;144;3;0
miblp_20_15_50_0110_10_7;-255.0;INGC+DC;True;False;2;4.279438495635986;0.0;29;3;9;144;3;0
miblp_20_20_50_0110_15_10;-98.0;INGC+DC;True;True;2;191.21296191215515;0.0;1074;27;69;6377;273;0
miblp_20_20_50_0110_15_10;-98.0;INGC+DC+NP;True;True;2;195.5590579509735;0.0;1011;25;72;5449;231;32
